state,event_type,county,date,time,in_direct,in_indirect,deaths_direct,deaths_indirect,f_scale,length,location,damage_property,damage_crops,f_scale_values
MISSOURI,Tornado,LIVINGSTON,10/24/2021,15:31:00,0,0,0,0,EF1,3.18,EVERSONVILLE,$0.00 ,$0.00 ,1
NORTH DAKOTA,Tornado,SARGENT,10/13/2021,15:04:00,0,0,0,0,EF0,5.42,CRETE,$0.00 ,$0.00 ,0
MISSOURI,Tornado,PETTIS,10/24/2021,15:54:00,0,0,0,0,EF0,0.47,SEDALIA,$0.00 ,$0.00 ,0
MISSOURI,Tornado,PETTIS,10/24/2021,15:59:00,0,0,0,0,EF0,1.22,SEDALIA ARPT,$0.00 ,$0.00 ,0
MINNESOTA,Tornado,HUBBARD,10/9/2021,21:35:00,0,0,0,0,EF1,0.21,(PKD)PARK RAPIDS ARP,$0.00 ,$0.00 ,1
ILLINOIS,Tornado,DE KALB,8/10/2021,17:33:00,0,0,0,0,EFU,0.6,ESMOND,$0.00 ,$0.00 ,-1
COLORADO,Tornado,WELD,6/7/2021,15:59:00,0,0,0,0,EF2,7.5,FIRESTONE,"$530,500.00 ",$0.00 ,2
DELAWARE,Tornado,KENT,7/1/2021,15:52:00,0,0,0,0,EF1,3.85,FARMINGTON,$0.00 ,$0.00 ,1
SOUTH DAKOTA,Tornado,LINCOLN,8/28/2021,15:22:00,0,0,0,0,EF1,2.25,LENNOX,"$75,000.00 ",$0.00 ,1
ILLINOIS,Tornado,BUREAU,8/9/2021,17:13:00,0,0,0,0,EFU,0.01,VAN ORIN,$0.00 ,$0.00 ,-1
LOUISIANA,Tornado,LIVINGSTON,4/8/2021,0:20:00,0,0,0,0,EF0,0.12,WEISS,"$5,000.00 ",$0.00 ,0
OKLAHOMA,Tornado,WAGONER,11/10/2021,19:26:00,0,0,0,0,EF0,0.4,BROKEN ARROW,"$75,000.00 ",$0.00 ,0
OKLAHOMA,Tornado,TULSA,11/10/2021,19:14:00,0,0,0,0,EF0,0.5,TULSA,"$25,000.00 ",$0.00 ,0
MISSISSIPPI,Tornado,PONTOTOC,5/2/2021,20:40:00,0,0,0,0,EF1,1.35,PLYMOUTH,"$100,000.00 ",$0.00 ,1
NEW MEXICO,Tornado,CURRY,5/17/2021,15:23:00,0,0,0,0,EF0,0.31,MELROSE,$0.00 ,$0.00 ,0
NEW MEXICO,Tornado,VALENCIA,5/17/2021,11:45:00,0,0,0,0,EF0,0.03,VALENCIA,$0.00 ,$0.00 ,0
