state,event_type,county,date,time,in_direct,in_indirect,deaths_direct,deaths_indirect,f_scale,length,location,damage_property,damage_crops,f_scale_values
IDAHO,Tornado,BINGHAM,6/2/2019,14:48:00,0,0,0,0,EF0,1,WAPELLO,$0.00 ,$0.00 ,0
OKLAHOMA,Tornado,DELAWARE,5/22/2019,20:34:00,0,0,0,0,EF2,16.5,JAY,"$500,000.00 ",$0.00 ,2
OKLAHOMA,Tornado,OKFUSKEE,5/22/2019,15:41:00,0,0,0,0,EFU,1,CASTLE,$0.00 ,$0.00 ,-1
OKLAHOMA,Tornado,WAGONER,5/22/2019,18:25:00,0,0,0,0,EFU,1,BROKEN ARROW,$0.00 ,$0.00 ,-1
SOUTH DAKOTA,Tornado,GREGORY,6/30/2019,15:23:00,0,0,0,0,EF0,0.65,LUCAS,$0.00 ,$0.00 ,0
ILLINOIS,Tornado,MERCER,6/15/2019,19:38:00,0,0,0,0,EF1,0.68,OGLE,$0.00 ,$0.00 ,1
IOWA,Tornado,JONES,6/9/2019,16:14:00,0,0,0,0,EFU,1.05,FAIRVIEW,$0.00 ,$0.00 ,-1
KENTUCKY,Tornado,CHRISTIAN,6/21/2019,17:31:00,0,0,0,0,EF1,0.96,NEWSTEAD,"$120,000.00 ",$0.00 ,1
INDIANA,Tornado,FAYETTE,6/15/2019,20:02:00,0,0,0,0,EF0,0.1,BENTONVILLE,"$50,000.00 ",$0.00 ,0
INDIANA,Tornado,WAYNE,6/15/2019,20:51:00,2,0,0,0,EF0,1.6,EAST RICHMOND ARPT,"$225,000.00 ",$0.00 ,0
LOUISIANA,Tornado,EVANGELINE,6/6/2019,1:30:00,0,0,0,0,EF1,0.12,BASILE,"$1,000.00 ",$0.00 ,1
OKLAHOMA,Tornado,CRAIG,5/22/2019,23:39:00,0,0,0,0,EF0,0.5,VINITA,"$5,000.00 ",$0.00 ,0
MINNESOTA,Tornado,REDWOOD,6/20/2019,16:18:00,0,0,0,0,EF1,5.39,WABASSO,$0.00 ,$0.00 ,1
MINNESOTA,Tornado,BROWN,6/20/2019,17:27:00,0,0,0,0,EF0,2.03,LEAVENWORTH,"$50,000.00 ",$0.00 ,0
MINNESOTA,Tornado,WATONWAN,6/20/2019,17:42:00,0,0,0,0,EF0,0.52,GODAHL,$0.00 ,$0.00 ,0
ILLINOIS,Tornado,TAZEWELL,6/15/2019,21:19:00,0,0,0,0,EF1,2.43,PEKIN MUNI ARPT,"$60,000.00 ",$0.00 ,1
ILLINOIS,Tornado,MCLEAN,6/15/2019,22:36:00,0,0,0,0,EF1,1.94,LAURETTE,"$40,000.00 ",$0.00 ,1
IOWA,Tornado,DES MOINES,6/15/2019,19:20:00,0,0,0,0,EF2,1.82,MEDIAPOLIS SHARAR AR,$0.00 ,$0.00 ,2
COLORADO,Tornado,ELBERT,6/8/2019,17:19:00,0,0,0,0,EF0,0.01,FONDIS,$0.00 ,$0.00 ,0
COLORADO,Tornado,LOGAN,6/3/2019,17:09:00,0,0,0,0,EF0,0.01,PADRONI,$0.00 ,$0.00 ,0
NORTH CAROLINA,Tornado,LINCOLN,4/19/2019,14:31:00,0,0,0,0,EF0,6.06,LABORATORY,$0.00 ,$0.00 ,0
NORTH CAROLINA,Tornado,GASTON,4/19/2019,14:29:00,1,0,0,0,EF0,1.05,LONG SHOALS,"$10,000.00 ",$0.00 ,0
ILLINOIS,Tornado,MOULTRIE,6/19/2019,18:22:00,0,0,0,0,EF0,0.11,DUNN,$0.00 ,$0.00 ,0
IOWA,Tornado,DES MOINES,6/15/2019,19:24:00,0,0,0,0,EF2,1.3,MEDIAPOLIS SHARAR AR,$0.00 ,$0.00 ,2
IOWA,Tornado,DES MOINES,6/15/2019,18:54:00,0,0,0,0,EFU,0.83,PLEASANTGROVE,$0.00 ,$0.00 ,-1
PENNSYLVANIA,Tornado,BUTLER,6/16/2019,17:18:00,0,0,0,0,EF1,1.04,BONUS,$0.00 ,$0.00 ,1
TEXAS,Tornado,CONCHO,6/24/2019,17:02:00,0,0,0,0,EFU,0.1,EDEN,$0.00 ,$0.00 ,-1
KENTUCKY,Tornado,TODD,6/21/2019,17:57:00,0,0,0,0,EF0,2.81,SOUTH ZION,"$5,000.00 ",$0.00 ,0
OREGON,Tornado,HARNEY,6/1/2019,11:17:00,0,0,0,0,EF0,1.29,BLITZEN,$0.00 ,$0.00 ,0
SOUTH CAROLINA,Tornado,GREENVILLE,4/14/2019,19:51:00,0,0,0,0,EF1,1.63,LAKEMONT,$0.00 ,$0.00 ,1
MISSISSIPPI,Tornado,HINDS,6/17/2019,12:53:00,0,0,0,0,EF1,2.48,RAYMOND,"$75,000.00 ",$0.00 ,1
OKLAHOMA,Tornado,OTTAWA,5/22/2019,18:25:00,0,0,0,0,EF1,4.5,NORTH MIAMI,"$75,000.00 ",$0.00 ,1
OKLAHOMA,Tornado,MAYES,5/22/2019,19:09:00,0,0,0,0,EF1,3.1,PRYOR,"$25,000.00 ",$0.00 ,1
KANSAS,Tornado,GEARY,5/21/2019,15:56:00,0,0,0,0,EFU,14.59,ALIDA,$0.00 ,$0.00 ,-1
PENNSYLVANIA,Tornado,ARMSTRONG,6/16/2019,17:21:00,0,0,0,0,EF1,0.5,PARKER CITY,$0.00 ,$0.00 ,1
OHIO,Tornado,TRUMBULL,6/16/2019,15:44:00,0,0,0,0,EF0,6,VIENNA,"$25,000.00 ",$0.00 ,0
KENTUCKY,Tornado,MARSHALL,6/21/2019,16:42:00,0,0,0,0,EF1,0.76,GILBERTSVILLE ARPT,"$500,000.00 ",$0.00 ,1
OKLAHOMA,Tornado,OSAGE,5/22/2019,19:31:00,0,0,0,0,EFU,0.2,HOMINY,$0.00 ,$0.00 ,-1
OKLAHOMA,Tornado,MAYES,5/22/2019,19:44:00,0,0,0,0,EFU,0.2,LOCUST GROVE,$0.00 ,$0.00 ,-1
OKLAHOMA,Tornado,MAYES,5/22/2019,19:52:00,0,0,0,0,EF1,5.3,BOATMAN,$0.00 ,$0.00 ,1
OHIO,Tornado,MUSKINGUM,6/24/2019,15:50:00,0,0,0,0,EF1,0.14,ADAMS MILLS,"$5,000.00 ",$0.00 ,1
OKLAHOMA,Tornado,OKMULGEE,5/22/2019,16:43:00,0,0,0,0,EF1,3.3,NUYAKA,$0.00 ,$0.00 ,1
OKLAHOMA,Tornado,OSAGE,5/22/2019,19:28:00,0,0,0,0,EFU,0.2,HOMINY,$0.00 ,$0.00 ,-1
OHIO,Tornado,PREBLE,6/15/2019,20:56:00,0,0,0,0,EF0,1.7,NEW WESTVILLE,"$40,000.00 ",$0.00 ,0
OHIO,Tornado,MUSKINGUM,6/5/2019,17:26:00,0,0,0,0,EF1,2.82,FRAYSZEBURG,$0.00 ,$0.00 ,1
OKLAHOMA,Tornado,OKFUSKEE,5/22/2019,16:10:00,0,0,0,0,EF1,0.6,OKFUSKEE,"$10,000.00 ",$0.00 ,1
ARKANSAS,Tornado,SEBASTIAN,5/18/2019,13:10:00,0,0,0,0,EF1,2.7,BLOOMER,$0.00 ,$0.00 ,1
LOUISIANA,Tornado,RAPIDES,6/20/2019,2:30:00,0,0,0,0,EF1,1.76,BUCKEYE,"$25,000.00 ",$0.00 ,1
TEXAS,Tornado,CASTRO,6/15/2019,16:20:00,0,0,0,0,EFU,0.01,SUMMERFIELD,$0.00 ,$0.00 ,-1
MINNESOTA,Tornado,OLMSTED,6/4/2019,16:48:00,0,0,0,0,EF1,1.25,ROCHESTER,"$40,000.00 ",$0.00 ,1
OKLAHOMA,Tornado,OKFUSKEE,5/22/2019,16:32:00,0,0,0,0,EF1,4.4,PHAROAH,"$10,000.00 ",$0.00 ,1
OKLAHOMA,Tornado,OKFUSKEE,5/22/2019,16:23:00,0,0,0,0,EF1,6,CLEARVIEW,"$40,000.00 ",$0.00 ,1
TEXAS,Tornado,CORYELL,6/9/2019,16:24:00,0,0,0,0,EF2,1.57,COPPERAS COVE,"$500,000.00 ",$0.00 ,2
ARKANSAS,Tornado,SEBASTIAN,5/18/2019,12:59:00,0,0,0,0,EF1,3.5,GREENWOOD,"$150,000.00 ",$0.00 ,1
LOUISIANA,Tornado,CALCASIEU,10/16/2019,1:42:00,0,0,0,0,EF1,2.74,HECKER,"$500,000.00 ",$0.00 ,1
